nameWithOwner,folderName,url,createdAt,stargazerCount,releases,LOC,CBO,DIT,LCOM
umano/AndroidSlidingUpPanel,AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,2013-05-31 18:33:53,9455,8,,,,
pockethub/PocketHub,PocketHub,https://github.com/pockethub/PocketHub,2011-09-08 16:52:50,9416,1,,,,
bilibili/DanmakuFlameMaster,DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,2013-08-11 12:18:50,9407,5,,,,
hackware1993/MagicIndicator,MagicIndicator,https://github.com/hackware1993/MagicIndicator,2016-06-26 08:20:43,9394,12,,,,
OpenRefine/OpenRefine,OpenRefine,https://github.com/OpenRefine/OpenRefine,2012-10-15 02:22:48,9393,45,,,,
doocs/jvm,jvm,https://github.com/doocs/jvm,2018-06-23 01:12:59,9381,0,,,,
MyCATApache/Mycat-Server,Mycat-Server,https://github.com/MyCATApache/Mycat-Server,2014-12-04 02:46:54,9378,7,,,,
dataease/dataease,dataease,https://github.com/dataease/dataease,2021-02-02 04:10:21,9335,50,,,,
koral--/android-gif-drawable,android-gif-drawable,https://github.com/koral--/android-gif-drawable,2013-01-30 01:37:46,9325,57,,,,
alibaba/COLA,COLA,https://github.com/alibaba/COLA,2018-02-06 13:46:27,9316,9,,,,
Activiti/Activiti,Activiti,https://github.com/Activiti/Activiti,2012-09-13 11:34:43,9305,220,,,,
lzyzsd/JsBridge,JsBridge,https://github.com/lzyzsd/JsBridge,2015-02-26 12:10:58,9286,0,,,,
lihengming/spring-boot-api-project-seed,spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,2017-06-23 10:06:30,9275,4,,,,
LSPosed/LSPosed,LSPosed,https://github.com/LSPosed/LSPosed,2020-12-12 08:39:37,9218,36,,,,
asLody/VirtualApp,VirtualApp,https://github.com/asLody/VirtualApp,2016-07-06 13:25:23,9215,0,,,,
cryptomator/cryptomator,cryptomator,https://github.com/cryptomator/cryptomator,2014-02-02 00:43:47,9123,147,,,,
barry-ran/QtScrcpy,QtScrcpy,https://github.com/barry-ran/QtScrcpy,2019-06-23 04:12:17,9097,28,,,,
krahets/hello-algo,hello-algo,https://github.com/krahets/hello-algo,2022-11-04 11:08:34,9064,1,,,,
navasmdc/MaterialDesignLibrary,MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,2014-09-30 07:37:17,9050,3,,,,
metersphere/metersphere,metersphere,https://github.com/metersphere/metersphere,2020-02-03 02:06:12,9028,133,,,,
jwtk/jjwt,jjwt,https://github.com/jwtk/jjwt,2014-09-13 01:06:24,8953,0,,,,
